Running command 1: C:/Users/xxiao/.conda/envs/vit/python.exe c:/Users/xxiao/Downloads/Xiao/ViT-Performer/vit_performer/vit_performer.py --config c:/Users/xxiao/Downloads/Xiao/ViT-Performer/vit_performer/config/config_cifar10_ln1_exp_8.yaml
================================================================================
Output:
Files already downloaded and verified
Using LearnableExp1-Performer now...
Random feature number: 8
Epoch 1 | Test set: Average loss: 1.4521, Accuracy: 4716/10000 (47%)

Epoch 2 | Test set: Average loss: 1.3354, Accuracy: 5157/10000 (52%)

Epoch 3 | Test set: Average loss: 1.2653, Accuracy: 5424/10000 (54%)

Epoch 4 | Test set: Average loss: 1.1943, Accuracy: 5731/10000 (57%)

Epoch 5 | Test set: Average loss: 1.1724, Accuracy: 5837/10000 (58%)

Epoch 6 | Test set: Average loss: 1.1419, Accuracy: 5934/10000 (59%)

Epoch 7 | Test set: Average loss: 1.1631, Accuracy: 5892/10000 (59%)

Epoch 8 | Test set: Average loss: 1.1126, Accuracy: 6101/10000 (61%)

Epoch 9 | Test set: Average loss: 1.1627, Accuracy: 6011/10000 (60%)

Epoch 10 | Test set: Average loss: 1.1286, Accuracy: 6196/10000 (62%)

Epoch 11 | Test set: Average loss: 1.1220, Accuracy: 6197/10000 (62%)

Epoch 12 | Test set: Average loss: 1.1374, Accuracy: 6139/10000 (61%)

Epoch 13 | Test set: Average loss: 1.1471, Accuracy: 5885/10000 (59%)

Epoch 14 | Test set: Average loss: 1.0466, Accuracy: 6293/10000 (63%)

Epoch 15 | Test set: Average loss: 1.0335, Accuracy: 6417/10000 (64%)

Epoch 16 | Test set: Average loss: 1.0798, Accuracy: 6318/10000 (63%)

Epoch 17 | Test set: Average loss: 1.0560, Accuracy: 6474/10000 (65%)

Epoch 18 | Test set: Average loss: 1.0289, Accuracy: 6457/10000 (65%)

Epoch 19 | Test set: Average loss: 1.0655, Accuracy: 6464/10000 (65%)

Epoch 20 | Test set: Average loss: 1.0772, Accuracy: 6524/10000 (65%)

Epoch 21 | Test set: Average loss: 1.1008, Accuracy: 6482/10000 (65%)

Epoch 22 | Test set: Average loss: 1.0927, Accuracy: 6488/10000 (65%)

Epoch 23 | Test set: Average loss: 1.0912, Accuracy: 6587/10000 (66%)

Epoch 24 | Test set: Average loss: 1.1181, Accuracy: 6572/10000 (66%)

Epoch 25 | Test set: Average loss: 1.0970, Accuracy: 6614/10000 (66%)

Epoch 26 | Test set: Average loss: 1.0515, Accuracy: 6461/10000 (65%)

Epoch 27 | Test set: Average loss: 1.0381, Accuracy: 6558/10000 (66%)

Epoch 28 | Test set: Average loss: 1.0760, Accuracy: 6640/10000 (66%)

Epoch 29 | Test set: Average loss: 1.0649, Accuracy: 6654/10000 (67%)

Epoch 30 | Test set: Average loss: 1.0491, Accuracy: 6691/10000 (67%)

Epoch 31 | Test set: Average loss: 1.0964, Accuracy: 6708/10000 (67%)

Epoch 32 | Test set: Average loss: 1.1145, Accuracy: 6627/10000 (66%)

Epoch 33 | Test set: Average loss: 1.1287, Accuracy: 6681/10000 (67%)

Epoch 34 | Test set: Average loss: 1.1407, Accuracy: 6661/10000 (67%)

Epoch 35 | Test set: Average loss: 1.1755, Accuracy: 6604/10000 (66%)

Epoch 36 | Test set: Average loss: 1.1729, Accuracy: 6640/10000 (66%)

Epoch 37 | Test set: Average loss: 1.2621, Accuracy: 6593/10000 (66%)

Epoch 38 | Test set: Average loss: 1.2143, Accuracy: 6634/10000 (66%)

Epoch 39 | Test set: Average loss: 1.0836, Accuracy: 6730/10000 (67%)

Epoch 40 | Test set: Average loss: 1.1592, Accuracy: 6670/10000 (67%)

Epoch 41 | Test set: Average loss: 1.1686, Accuracy: 6698/10000 (67%)

Epoch 42 | Test set: Average loss: 1.1861, Accuracy: 6679/10000 (67%)

Epoch 43 | Test set: Average loss: 1.2361, Accuracy: 6642/10000 (66%)

Epoch 44 | Test set: Average loss: 1.2041, Accuracy: 6710/10000 (67%)

